id,time,sum_flow,avg_speed
R074_S3,2019-04-25 02:15:00,1,15.5
R077_S2,2019-04-25 02:15:00,2,32.0
R085_S1,2019-04-25 02:15:00,0,0.0
R085_S2,2019-04-25 02:15:00,1,6.0
R116_S1,2019-04-25 02:15:00,2,12.4
R116_S2,2019-04-25 02:15:00,2,35.75
R131_S1,2019-04-25 02:15:00,0,0.0
R131_S2,2019-04-25 02:15:00,7,40.7857142857143
R131_SM82,2019-04-25 02:15:00,7,41.1428571428571
R131_SM83,2019-04-25 02:15:00,6,48.0
R133_S2,2019-04-25 02:15:00,2,6.0
R133_S4,2019-04-25 02:15:00,4,28.75
R134_S1,2019-04-25 02:15:00,1,5.5
R134_S2,2019-04-25 02:15:00,1,16.0
R135_S1,2019-04-25 02:15:00,1,22.3333333333333
R135_S2,2019-04-25 02:15:00,2,21.0
R141_S1,2019-04-25 02:15:00,0,0.0
R141_S2,2019-04-25 02:15:00,0,1.0
R142_S1,2019-04-25 02:15:00,0,0.0
R142_S2,2019-04-25 02:15:00,15,27.3
R154_S1,2019-04-25 02:15:00,3,7.0
R001_SM1,2019-04-25 02:30:00,12,32.28
R001_SM2,2019-04-25 02:30:00,1,4.0
R001_SM3,2019-04-25 02:30:00,2,10.75
R002_S1,2019-04-25 02:30:00,1,19.0
R002_S2,2019-04-25 02:30:00,0,0.0
R002_S4,2019-04-25 02:30:00,3,25.3333333333333
R002_S5,2019-04-25 02:30:00,10,24.5
R003_SM7,2019-04-25 02:30:00,9,51.1578947368421
R003_SM8,2019-04-25 02:30:00,3,29.6666666666667
R003_SM9,2019-04-25 02:30:00,2,27.2
R028_S1,2019-04-25 02:30:00,1,0.0
R028_S2,2019-04-25 02:30:00,1,12.0
R028_S3,2019-04-25 02:30:00,2,23.0
R029_S1,2019-04-25 02:30:00,1,33.0
R029_S2,2019-04-25 02:30:00,1,36.6666666666667
R030_S2,2019-04-25 02:30:00,4,36.5
R031_S1,2019-04-25 02:30:00,2,7.75
R031_S2,2019-04-25 02:30:00,1,3.5
R032_S2,2019-04-25 02:30:00,1,11.0
R032_SM46,2019-04-25 02:30:00,0,0.0
R069_S1,2019-04-25 02:30:00,0,21.0
R069_S4,2019-04-25 02:30:00,11,28.2727272727273
R069_SM67,2019-04-25 02:30:00,3,17.1428571428571
R071_S2,2019-04-25 02:30:00,0,29.0
R074_S1,2019-04-25 02:30:00,0,0.0
R074_S3,2019-04-25 02:30:00,0,0.0
R077_S2,2019-04-25 02:30:00,0,0.0
R085_S1,2019-04-25 02:30:00,0,0.0
R085_S2,2019-04-25 02:30:00,0,0.0
R116_S1,2019-04-25 02:30:00,0,0.0
R116_S2,2019-04-25 02:30:00,0,0.0
R131_S1,2019-04-25 02:30:00,0,0.0
R131_S2,2019-04-25 02:30:00,5,43.9090909090909
R131_SM82,2019-04-25 02:30:00,5,40.5454545454545
R131_SM83,2019-04-25 02:30:00,7,44.3571428571429
R133_S2,2019-04-25 02:30:00,0,0.0
R133_S4,2019-04-25 02:30:00,7,32.4285714285714
R134_S1,2019-04-25 02:30:00,1,5.5
R134_S2,2019-04-25 02:30:00,1,7.0
R135_S1,2019-04-25 02:30:00,1,16.3333333333333
R135_S2,2019-04-25 02:30:00,0,9.0
R141_S1,2019-04-25 02:30:00,0,0.0
R141_S2,2019-04-25 02:30:00,1,31.0
R142_S1,2019-04-25 02:30:00,4,18.125
R142_S2,2019-04-25 02:30:00,18,25.5945945945946
R154_S1,2019-04-25 02:30:00,1,0.0
R001_SM1,2019-04-25 02:45:00,6,35.1538461538462
R001_SM2,2019-04-25 02:45:00,0,20.0
R001_SM3,2019-04-25 02:45:00,0,9.0
R002_S1,2019-04-25 02:45:00,1,35.0
R002_S2,2019-04-25 02:45:00,0,0.0
R002_S4,2019-04-25 02:45:00,3,40.3333333333333
R002_S5,2019-04-25 02:45:00,4,25.5
R003_SM7,2019-04-25 02:45:00,4,63.0
R003_SM8,2019-04-25 02:45:00,2,19.75
R003_SM9,2019-04-25 02:45:00,2,29.75
R028_S1,2019-04-25 02:45:00,0,0.0
R028_S2,2019-04-25 02:45:00,0,0.0
R028_S3,2019-04-25 02:45:00,3,23.0
R029_S1,2019-04-25 02:45:00,0,30.0
R029_S2,2019-04-25 02:45:00,0,50.0
R030_S2,2019-04-25 02:45:00,2,23.5
R031_S1,2019-04-25 02:45:00,3,11.1666666666667
R031_S2,2019-04-25 02:45:00,1,15.0
R032_S2,2019-04-25 02:45:00,0,0.0
R032_SM46,2019-04-25 02:45:00,0,5.0
R069_S1,2019-04-25 02:45:00,2,34.4
